sport,player_key,github_raw_url,status
MLB,ryan_weathers_nyy,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/mlb/Headshots/ryan_weathers_nyy.png,DOWNLOADED
MLB,gavin_williams_cle,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/mlb/Headshots/gavin_williams_cle.png,DOWNLOADED
MLB,parker_messick_cle,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/mlb/Headshots/parker_messick_cle.png,DOWNLOADED
MLB,seth_lugo_kcr,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/mlb/Headshots/seth_lugo_kcr.png,DOWNLOADED
MLB,will_warren_nyy,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/mlb/Headshots/will_warren_nyy.png,DOWNLOADED
MLB,nick_martinez_tbr,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/mlb/Headshots/nick_martinez_tbr.png,DOWNLOADED
MLB,chris_sale_atl,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/mlb/Headshots/chris_sale_atl.png,DOWNLOADED
MLB,mitch_keller_pit,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/mlb/Headshots/mitch_keller_pit.png,DOWNLOADED
MLB,carmen_mlodzinski_pit,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/mlb/Headshots/carmen_mlodzinski_pit.png,DOWNLOADED
MLB,paul_skenes_pit,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/mlb/Headshots/paul_skenes_pit.png,DOWNLOADED
MLB,braxton_ashcraft_pit,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/mlb/Headshots/braxton_ashcraft_pit.png,DOWNLOADED
MLB,jacob_misiorowski_mil,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/mlb/Headshots/jacob_misiorowski_mil.png,DOWNLOADED
MLB,yoshinobu_yamamoto_lad,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/mlb/Headshots/yoshinobu_yamamoto_lad.png,DOWNLOADED
MLB,bryce_elder_atl,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/mlb/Headshots/bryce_elder_atl.png,DOWNLOADED
MLB,randy_vasquez_sdp,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/mlb/Headshots/randy_vasquez_sdp.png,DOWNLOADED
MLB,munetaka_murakami_chw,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/mlb/Headshots/munetaka_murakami_chw.png,DOWNLOADED
MLB,jordan_walker_stl,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/mlb/Headshots/jordan_walker_stl.png,DOWNLOADED
MLB,emerson_hancock_sea,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/mlb/Headshots/emerson_hancock_sea.png,DOWNLOADED
MLB,dylan_cease_tor,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/mlb/Headshots/dylan_cease_tor.png,DOWNLOADED
MLB,cristopher_sanchez_phi,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/mlb/Headshots/cristopher_sanchez_phi.png,DOWNLOADED
MLB,nolan_mclean_nym,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/mlb/Headshots/nolan_mclean_nym.png,DOWNLOADED
MLB,shota_imanaga_chc,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/mlb/Headshots/shota_imanaga_chc.png,DOWNLOADED
MLB,chase_burns_cin,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/mlb/Headshots/chase_burns_cin.png,DOWNLOADED
MLB,dillon_dingler_det,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/mlb/Headshots/dillon_dingler_det.png,DOWNLOADED
MLB,brice_turang_mil,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/mlb/Headshots/brice_turang_mil.png,DOWNLOADED
MLB,ildemaro_vargas_ari,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/mlb/Headshots/ildemaro_vargas_ari.png,DOWNLOADED
MLB,jacob_degrom_tex,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/mlb/Headshots/jacob_degrom_tex.png,DOWNLOADED
MLB,chase_delauter_cle,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/mlb/Headshots/chase_delauter_cle.png,DOWNLOADED
MLB,colson_montgomery_chw,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/mlb/Headshots/colson_montgomery_chw.png,DOWNLOADED
MLB,cj_abrams_wsn,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/mlb/Headshots/cj_abrams_wsn.png,DOWNLOADED
MLB,davis_martin_chw,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/mlb/Headshots/davis_martin_chw.png,DOWNLOADED
MLB,justin_wrobleski_lad,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/mlb/Headshots/justin_wrobleski_lad.png,DOWNLOADED
MLB,george_kirby_sea,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/mlb/Headshots/george_kirby_sea.png,DOWNLOADED
MLB,michael_king_sdp,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/mlb/Headshots/michael_king_sdp.png,DOWNLOADED
