sport,requested_name,player_key,matched_name,match_score,espn_athlete_id,headshot_url,local_repo_path,github_raw_url,status
NBA,Kawhi Leonard,kawhi_leonard,Kawhi Leonard,1.0,6450,https://a.espncdn.com/i/headshots/nba/players/full/6450.png,C:\Users\jeffw\OneDrive\DevProj\stinger-assets\nba\headshots\kawhi_leonard.png,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/nba/headshots/kawhi_leonard.png,DOWNLOADED
NHL,Connor McDavid,connor_mcdavid_edm,Connor McDavid,1.0,3895074,https://a.espncdn.com/i/headshots/nhl/players/full/3895074.png,C:\Users\jeffw\OneDrive\DevProj\stinger-assets\nhl\headshots\connor_mcdavid_edm.png,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/nhl/headshots/connor_mcdavid_edm.png,DOWNLOADED
NHL,Nathan MacKinnon,nathan_mackinnon_col,Nathan MacKinnon,1.0,3041969,https://a.espncdn.com/i/headshots/nhl/players/full/3041969.png,C:\Users\jeffw\OneDrive\DevProj\stinger-assets\nhl\headshots\nathan_mackinnon_col.png,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/nhl/headshots/nathan_mackinnon_col.png,DOWNLOADED
NHL,Nikita Kucherov,nikita_kucherov_tbl,Nikita Kucherov,1.0,2563060,https://a.espncdn.com/i/headshots/nhl/players/full/2563060.png,C:\Users\jeffw\OneDrive\DevProj\stinger-assets\nhl\headshots\nikita_kucherov_tbl.png,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/nhl/headshots/nikita_kucherov_tbl.png,DOWNLOADED
NHL,William Nylander,william_nylander_tor,William Nylander,1.0,3114736,https://a.espncdn.com/i/headshots/nhl/players/full/3114736.png,C:\Users\jeffw\OneDrive\DevProj\stinger-assets\nhl\headshots\william_nylander_tor.png,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/nhl/headshots/william_nylander_tor.png,DOWNLOADED
NHL,Jack Eichel,jack_eichel_veg,Jack Eichel,1.0,3648002,https://a.espncdn.com/i/headshots/nhl/players/full/3648002.png,C:\Users\jeffw\OneDrive\DevProj\stinger-assets\nhl\headshots\jack_eichel_veg.png,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/nhl/headshots/jack_eichel_veg.png,DOWNLOADED
NHL,David Pastrňák,david_pastrnak_bos,David Pastrnak,1.0,3114778,https://a.espncdn.com/i/headshots/nhl/players/full/3114778.png,C:\Users\jeffw\OneDrive\DevProj\stinger-assets\nhl\headshots\david_pastrnak_bos.png,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/nhl/headshots/david_pastrnak_bos.png,DOWNLOADED
NHL,Wyatt Johnston,wyatt_johnston_dal,Wyatt Johnston,1.0,4874740,https://a.espncdn.com/i/headshots/nhl/players/full/4874740.png,C:\Users\jeffw\OneDrive\DevProj\stinger-assets\nhl\headshots\wyatt_johnston_dal.png,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/nhl/headshots/wyatt_johnston_dal.png,DOWNLOADED
NHL,Mark Stone,mark_stone_veg,Mark Stone,1.0,5545,https://a.espncdn.com/i/headshots/nhl/players/full/5545.png,C:\Users\jeffw\OneDrive\DevProj\stinger-assets\nhl\headshots\mark_stone_veg.png,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/nhl/headshots/mark_stone_veg.png,DOWNLOADED
NHL,Leon Draisaitl,leon_draisaitl_edm,Leon Draisaitl,1.0,3114727,https://a.espncdn.com/i/headshots/nhl/players/full/3114727.png,C:\Users\jeffw\OneDrive\DevProj\stinger-assets\nhl\headshots\leon_draisaitl_edm.png,https://raw.githubusercontent.com/jeffwarr4/stinger-assets/main/nhl/headshots/leon_draisaitl_edm.png,DOWNLOADED
